tempo,time_signature,instrumentalness,valence,artist,liveness,speechiness,duration_ms,track,acousticness,key,energy,danceability,genre,loudness
124.355,4,0.0616,0.817,George Benson,0.107,0.0411,162707,Groovin',0.405,9,0.446,0.695,jazz,-13.083
105.393,5,2.74e-05,0.369,Billie Holiday,0.132,0.0406,181827,All of Me,0.978,2,0.0677,0.507,jazz,-13.766
110.951,4,0.000279,0.585,Charles Mingus,0.11,0.0497,482960,Moanin',0.438,5,0.476,0.488,jazz,-10.316
158.001,4,0.0339,0.539,Koop,0.373,0.0304,272760,Koop Island Blues,0.727,10,0.542,0.571,jazz,-9.033
79.819,4,0.901,0.597,Sidney Bechet,0.58,0.0415,195733,Si tu vois ma mère,0.821,3,0.441,0.466,jazz,-10.881
157.962,4,0,0.962,Stan Kenton,0.373,0.0474,165533,Tampico,0.619,8,0.384,0.681,jazz,-10.817
93.828,4,0.0166,0.249,Stan Getz,0.134,0.0395,419627,A Nightingale Sang In Berkeley Square,0.955,1,0.0467,0.427,jazz,-24.557
78.031,4,4.24e-05,0.642,Chet Baker,0.143,0.0391,183893,That Old Feeling,0.633,5,0.175,0.643,jazz,-16.813
89.782,4,0.163,0.343,Wynton Marsalis,0.171,0.0412,309640,When It's Sleepytime Down South,0.852,8,0.128,0.534,jazz,-16.076
156.953,3,0.894,0.586,Misha Mullov-Abbado,0.295,0.0363,425133,Circle Song,0.87,1,0.314,0.544,jazz,-15.196
128.974,4,0,0.556,Sarah Vaughan,0.0907,0.0645,147560,Jump For Joy - 2007 Remastered Version,0.831,6,0.304,0.551,jazz,-9.711
134.77,4,0.00355,0.579,John Coltrane,0.307,0.0427,644013,Blue Train - 2003 - Remaster,0.798,8,0.493,0.506,jazz,-7.759
135.31,4,4.3e-05,0.593,Indra Rios-Moore,0.11,0.0636,207893,Little Black Train,0.639,5,0.626,0.69,jazz,-7.146
112.355,4,0.301,0.164,Thad Jones,0.327,0.0327,403360,April In Paris - 2007 - Remaster,0.736,0,0.224,0.509,jazz,-11.123
125.166,4,0,0.57,Frank Sinatra,0.18,0.0427,177400,You Make Me Feel So Young - 1998 Digital Remaster,0.383,9,0.306,0.577,jazz,-11.559
170.076,4,0.151,0.428,Cannonball Adderley,0.978,0.0386,308507,"Mercy, Mercy, Mercy - Live",0.702,10,0.275,0.398,jazz,-16.175
