artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Dafnis Prieto,About The Monks,0.156,0.48,323133,0.829,0.127,0,0.336,-7.427,0.04,136.779,4,0.718,jazz
Ella Fitzgerald,Dream A Little Dream Of Me,0.918,0.549,187693,0.169,0,9,0.159,-13.433,0.0779,79.318,4,0.366,jazz
Kamasi Washington,Change of the Guard,0.103,0.292,735733,0.754,0.852,9,0.105,-8.886,0.0651,116.994,4,0.368,jazz
Gerry Mulligan,Lullaby Of The Leaves - 1998 Digital Remaster,0.972,0.439,195160,0.082,0.893,0,0.0913,-17.066,0.0407,124.69,4,0.494,jazz
Miles Davis,Bye Bye Blackbird,0.564,0.632,474627,0.32,3.83e-06,0,0.0903,-10.563,0.0461,122.516,4,0.37,jazz
Bill Evans,Gary's Theme - Remastered,0.905,0.42,257693,0.0802,0.857,7,0.135,-21.795,0.04,122.041,3,0.0513,jazz
Adam Baldych,Letter for E.,0.925,0.302,361267,0.268,0.348,2,0.164,-12.988,0.04,144.137,3,0.238,jazz
Joshua Redman,As This Moment Slips Away,0.785,0.533,412613,0.429,0.799,5,0.0982,-10.413,0.0323,91.473,4,0.538,jazz
Herbie Hancock,Doin' It,0.109,0.739,482720,0.882,0.684,11,0.0185,-11.946,0.0539,98.424,4,0.943,jazz
Fred Hersch Trio,Forerunner,0.671,0.597,191560,0.213,0.528,9,0.0762,-23.741,0.0482,104.188,4,0.582,jazz
Charlie Parker,All the Things You Are,0.961,0.549,169533,0.0827,0.553,8,0.11,-17.664,0.0506,127.4,4,0.484,jazz
Art Tatum,Tea for Two,0.991,0.358,193867,0.452,0.864,1,0.14,-13.02,0.0347,166.973,4,0.537,jazz
Oscar Peterson,Honeysuckle Rose,0.762,0.645,156667,0.34,0.00191,5,0.0648,-11.614,0.0343,75.551,4,0.522,jazz
Count Basie,Taxi War- Dance,0.945,0.708,166827,0.163,0.902,0,0.108,-20.238,0.0871,106.314,4,0.861,jazz
Billie Holiday,Strange Fruit,0.967,0.384,181387,0.078,5.49e-06,0,0.135,-13.77,0.0469,97.427,4,0.155,jazz
Koop,Waltz for Koop,0.583,0.304,186280,0.488,0.186,2,0.125,-11.332,0.0283,96.8,4,0.508,jazz
Dave Brubeck,Unsquare Dance,0.0503,0.647,119827,0.512,0.925,7,0.0989,-13.619,0.0745,116.981,4,0.588,jazz
Miles Davis,Shhh / Peaceful - LP Mix,0.711,0.324,1094733,0.394,0.00206,7,0.19,-11.385,0.0298,129.859,4,0.219,jazz
Dizzy Gillespie,Manteca - 1994 Remastered,0.822,0.615,186467,0.594,0.861,8,0.106,-11.719,0.234,86.657,4,0.576,jazz
Keith Jarrett,Interlude No. 3,0.993,0.511,77533,0.00211,0.982,3,0.113,-24.812,0.195,107.949,5,0.145,jazz
Duke Ellington,"Take The ""A"" Train",0.956,0.592,173267,0.35,0.828,0,0.105,-11.249,0.0384,169.226,4,0.697,jazz
"Oscar Brown, Jr.",Dat Dere,0.761,0.628,170933,0.468,0,7,0.0991,-11.806,0.0852,113.455,4,0.655,jazz
Artie Shaw & His Orchestra,Man from Mars,0.74,0.611,217760,0.532,0.812,0,0.08,-11.411,0.0531,114.426,4,0.604,jazz
Gerry Mulligan,Stardust,0.966,0.54,286133,0.0671,0.779,1,0.101,-18.633,0.0397,84.192,4,0.301,jazz
Frank Sinatra,I've Got You Under My Skin - 1998 Digital Remaster,0.452,0.585,223760,0.247,8.85e-06,1,0.107,-12.612,0.04,127.15,4,0.59,jazz
The Cannonball Adderley Quintet,Tensity - 2005 Digital Remaster,0.228,0.388,755440,0.45,0.559,7,0.0949,-9.894,0.0438,91.863,4,0.316,jazz
